bucket,datetime,trade_count,size_sum,amount_sum,vwap,avg_trade_size,max_trade_size,midpoint,midpoint_return,abs_midpoint_return,spread,spread_pct,bid_depth_top5,ask_depth_top5,total_depth,depth_change,depth_imbalance,depth_drop,abs_depth_imbalance,market_file,market_stem
1770842820,2026-02-11 20:47:00,1,15.0,13.05,0.8699999999420001,13.05,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770842880,2026-02-11 20:48:00,1,25.0,21.75,0.8699999999651999,21.75,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770843180,2026-02-11 20:53:00,1,16.0,14.08,0.879999999945,14.08,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770843480,2026-02-11 20:58:00,1,90.0,80.1,0.889999999990111,80.1,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770843960,2026-02-11 21:06:00,1,165.0,146.85,0.8899999999946061,146.85,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770844320,2026-02-11 21:12:00,1,1.11111,0.999999,0.8999999991899992,0.999999,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770844980,2026-02-11 21:23:00,2,743.0,668.7,0.8999999999987888,334.35,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770845040,2026-02-11 21:24:00,2,10.870000000000001,9.8917,0.9099999999162832,4.94585,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770845340,2026-02-11 21:29:00,1,5.0,4.6000000000000005,0.9199999998160001,4.6000000000000005,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770845400,2026-02-11 21:30:00,1,5.0,4.6000000000000005,0.9199999998160001,4.6000000000000005,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770845520,2026-02-11 21:32:00,2,10.054345999999999,9.149998,0.9100540203301087,4.574999,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770845700,2026-02-11 21:35:00,1,10.752685,9.999997,0.9299999952635086,9.999997,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770846240,2026-02-11 21:44:00,2,10.054337,9.14999,0.9100540392757818,4.574995,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770847920,2026-02-11 22:12:00,1,1.38,1.2558,0.9099999993405797,1.2558,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770848640,2026-02-11 22:24:00,1,90.0,80.1,0.889999999990111,80.1,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770848940,2026-02-11 22:29:00,1,89.0,79.21000000000001,0.88999999999,79.21000000000001,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770849600,2026-02-11 22:40:00,1,1.38,1.1868,0.8599999993768115,1.1868,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770849660,2026-02-11 22:41:00,1,995.0,875.6,0.8799999999991156,875.6,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770854280,2026-02-11 23:58:00,1,1.162785,0.999995,0.8599999132599749,0.999995,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770854340,2026-02-11 23:59:00,1,9.46,7.9518,0.8405708244354576,7.9518,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770854820,2026-02-12 00:07:00,1,2.272726,1.999998,0.8799996124125831,1.999998,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770857760,2026-02-12 00:56:00,1,7.74444,6.969996,0.8999999998837876,6.969996,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770858480,2026-02-12 01:08:00,1,5.0,4.5,0.89999999982,4.5,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770859560,2026-02-12 01:26:00,2,551.208677,496.09999600000003,0.9000221090480041,248.04999800000002,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770860160,2026-02-12 01:36:00,1,98.78,89.88980000000001,0.9099999999907876,89.88980000000001,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770862080,2026-02-12 02:08:00,2,146.203955,131.599999,0.9001124422324956,65.7999995,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770862620,2026-02-12 02:17:00,1,1.11111,0.999999,0.8999999991899992,0.999999,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770863700,2026-02-12 02:35:00,2,102.1978,91.999998,0.9002150535442034,45.999999,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770865020,2026-02-12 02:57:00,1,70.7,63.63,0.8999999999872701,63.63,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770865920,2026-02-12 03:12:00,1,6.57,5.7816,0.8799999998660578,5.7816,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770868260,2026-02-12 03:51:00,1,11.16,9.9324,0.8899999999202508,9.9324,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770869760,2026-02-12 04:16:00,1,1.11111,0.999999,0.8999999991899992,0.999999,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770870240,2026-02-12 04:24:00,1,11.235954,9.999999,0.8899999945807894,9.999999,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770871080,2026-02-12 04:38:00,1,7.674414,6.599996,0.859999994675815,6.599996,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770871320,2026-02-12 04:42:00,1,10.0,8.8,0.8799999999120001,8.8,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770873300,2026-02-12 05:15:00,1,23.52941,19.999998,0.8499999787138733,19.999998,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770875700,2026-02-12 05:55:00,2,31.0,26.66,0.8599999999722581,13.33,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770876600,2026-02-12 06:10:00,1,97.0,83.42,0.859999999991134,83.42,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770876720,2026-02-12 06:12:00,5,230.0,197.79999999999998,0.8599999999962609,39.559999999999995,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770877380,2026-02-12 06:23:00,1,15.0,13.05,0.8699999999420001,13.05,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770877500,2026-02-12 06:25:00,2,34.0,29.580000000000002,0.8699999999744119,14.790000000000001,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770878280,2026-02-12 06:38:00,1,1.136358,0.999995,0.8799999640254216,0.999995,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770881040,2026-02-12 07:24:00,1,39.0,34.32,0.8799999999774359,34.32,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770881100,2026-02-12 07:25:00,2,299.0,263.12,0.8799999999970569,131.56,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770881280,2026-02-12 07:28:00,3,452.0,397.76,0.8799999999980531,132.58666666666667,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770881400,2026-02-12 07:30:00,1,13.0,11.44,0.8799999999323076,11.44,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770883080,2026-02-12 07:58:00,2,50.340908,44.299999,0.8799999991879368,22.1499995,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770883140,2026-02-12 07:59:00,1,40.0,35.2,0.8799999999780002,35.2,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770883200,2026-02-12 08:00:00,1,7.0,6.16,0.8799999998742857,6.16,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
1770883560,2026-02-12 08:06:00,1,87.0,76.56,0.8799999999898851,76.56,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,1345814_YES.csv,1345814_YES
