timestamp,datetime,midpoint,best_bid,best_ask,spread,bid_depth_top5,ask_depth_top5
1771057272,2026-02-14T16:21:12.771726,0.0235,0.024,0.023,0.001,17845.02,35630.72
1771057452,2026-02-14T16:24:12.861162,0.0235,0.024,0.023,0.001,15693.32,36996.75
1771057632,2026-02-14T16:27:12.879141,0.0235,0.024,0.023,0.001,14025.22,49168.2
1771057812,2026-02-14T16:30:12.919672,0.0235,0.024,0.023,0.001,11035.0,41814.84
1771057992,2026-02-14T16:33:12.855415,0.019,0.02,0.018,0.002,16711.670000000002,62229.939999999995
1771058172,2026-02-14T16:36:12.857570,0.0195,0.02,0.019,0.001,13278.08,60545.78999999999
1771058352,2026-02-14T16:39:12.969249,0.021,0.022,0.02,0.002,11073.9,67139.3
1771058533,2026-02-14T16:42:13.088388,0.021,0.022,0.02,0.002,13024.64,66834.23
1771058712,2026-02-14T16:45:12.997197,0.022,0.024,0.02,0.004,13042.09,54035.53
1771058893,2026-02-14T16:48:13.049777,0.0235,0.024,0.023,0.001,3459.4900000000002,56829.62
1771059073,2026-02-14T16:51:13.055067,0.0235,0.024,0.023,0.001,3555.27,50018.2
1771059253,2026-02-14T16:54:13.209752,0.0235,0.024,0.023,0.001,3940.12,49547.59
1771059433,2026-02-14T16:57:13.094890,0.0215,0.023,0.02,0.003,11056.48,49002.85
1771059613,2026-02-14T17:00:13.227329,0.0225,0.024,0.021,0.003,10007.119999999999,47562.16
1771059793,2026-02-14T17:03:13.235336,0.0225,0.024,0.021,0.003,9565.449999999999,44935.76
1771059973,2026-02-14T17:06:13.158253,0.022,0.023,0.021,0.002,12455.87,42668.01
1771060153,2026-02-14T17:09:13.237427,0.022,0.023,0.021,0.002,12455.8,43584.96
1771060333,2026-02-14T17:12:13.256790,0.023,0.024,0.022,0.002,6740.1,20007.52
1771060513,2026-02-14T17:15:13.234069,0.023,0.024,0.022,0.002,7663.1,65486.86
1771060693,2026-02-14T17:18:13.246850,0.023,0.024,0.022,0.002,12579.33,65409.58
1771060873,2026-02-14T17:21:13.289159,0.023,0.024,0.022,0.002,11988.2,63560.979999999996
1771061053,2026-02-14T17:24:13.430649,0.0215,0.023,0.02,0.003,18142.62,61907.37
1771061233,2026-02-14T17:27:13.433639,0.0195,0.02,0.019,0.001,15262.16,69862.76
1771061413,2026-02-14T17:30:13.421788,0.0205,0.022,0.019,0.003,16241.59,60469.81
1771061593,2026-02-14T17:33:13.637003,0.02,0.022,0.018,0.004,22638.8,62860.049999999996
1771061773,2026-02-14T17:36:13.446409,0.02,0.022,0.018,0.004,22052.59,62645.52
1771061953,2026-02-14T17:39:13.519353,0.021,0.022,0.02,0.002,16692.5,66907.83
1771062133,2026-02-14T17:42:13.498697,0.0215,0.022,0.021,0.001,15141.78,61449.369999999995
1771062313,2026-02-14T17:45:13.643784,0.0215,0.022,0.021,0.001,9778.48,61320.78
1771062493,2026-02-14T17:48:13.560133,0.0215,0.022,0.021,0.001,11301.88,61197.979999999996
1771062673,2026-02-14T17:51:13.630630,0.022,0.023,0.021,0.002,12497.78,85337.03
1771062853,2026-02-14T17:54:13.635683,0.0215,0.022,0.021,0.001,12150.789999999999,66507.31
1771063033,2026-02-14T17:57:13.646033,0.0195,0.02,0.019,0.001,16597.97,62072.05
1771063213,2026-02-14T18:00:13.641874,0.0215,0.022,0.021,0.001,13154.63,64355.84
1771063393,2026-02-14T18:03:13.645505,0.0225,0.023,0.022,0.001,10331.87,57757.98
1771063573,2026-02-14T18:06:13.885460,0.0225,0.023,0.022,0.001,11243.44,60343.23
1771063753,2026-02-14T18:09:13.859311,0.023,0.024,0.022,0.002,10217.66,61577.119999999995
1771063933,2026-02-14T18:12:13.862717,0.0235,0.024,0.023,0.001,11051.73,61193.22
1771064113,2026-02-14T18:15:13.845461,0.0235,0.024,0.023,0.001,11495.26,55452.229999999996
1771064293,2026-02-14T18:18:13.781939,0.0235,0.024,0.023,0.001,13140.630000000001,72170.06999999999
1771064473,2026-02-14T18:21:13.866959,0.0235,0.024,0.023,0.001,18414.47,69833.06
1771064653,2026-02-14T18:24:13.859722,0.0225,0.023,0.022,0.001,15735.7,66395.17
1771064833,2026-02-14T18:27:13.911336,0.0225,0.023,0.022,0.001,16986.84,65387.93
1771065013,2026-02-14T18:30:13.926357,0.023,0.024,0.022,0.002,17537.96,67232.59
1771065194,2026-02-14T18:33:14.000621,0.023,0.024,0.022,0.002,16500.07,81879.72
1771065373,2026-02-14T18:36:13.981776,0.0225,0.023,0.022,0.001,13432.349999999999,77436.35
1771065554,2026-02-14T18:39:14.020389,0.0225,0.023,0.022,0.001,13454.06,61411.73
1771065734,2026-02-14T18:42:14.052382,0.0235,0.024,0.023,0.001,13367.32,61741.65
