bucket,datetime,trade_count,size_sum,amount_sum,vwap,avg_trade_size,max_trade_size,midpoint,midpoint_return,abs_midpoint_return,spread,spread_pct,bid_depth_top5,ask_depth_top5,total_depth,depth_change,depth_imbalance,depth_drop,abs_depth_imbalance,z_trade_count,z_amount_sum,z_avg_trade_size,z_spread,z_depth_drop,z_abs_midpoint_return,z_abs_depth_imbalance,activity_score,liquidity_score,price_dislocation_score,stress_score,is_stress_anomaly,market_file,market_stem
1770892980,2026-02-12 10:43:00,2,62900.0,188.7,0.0029999999999999524,94.35,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,4.002403124278059,0.930688965887876,-0.05847485099115789,0.0,0.0,0.0,0.0,4.8746172391747775,0.0,0.0,4.8746172391747775,False,1303357_YES.csv,1303357_YES
1770893100,2026-02-12 10:45:00,1,62000.0,186.0,0.002999999999999952,186.0,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,-0.242627130651751,0.8854336599066631,0.9709432910036974,0.0,0.0,0.0,0.0,1.6137498202586094,0.0,0.0,1.6137498202586094,False,1303357_YES.csv,1303357_YES
1770893160,2026-02-12 10:46:00,2,62900.0,188.7,0.0029999999999999524,94.35,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,3.5026445035884692,0.9000469022968717,-0.07646071682157594,0.0,0.0,0.0,0.0,4.326230689063765,0.0,0.0,4.326230689063765,False,1303357_YES.csv,1303357_YES
1770893220,2026-02-12 10:47:00,1,62001.65,186.00495,0.002999999999999952,186.00495,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,-0.27749837403772826,0.8562132312112042,0.9643115551904394,0.0,0.0,0.0,0.0,1.5430264123639152,0.0,0.0,1.5430264123639152,False,1303357_YES.csv,1303357_YES
1770893400,2026-02-12 10:50:00,1,61002.0,183.006,0.002999999999999951,183.006,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,-0.2748626030391375,0.8104729649310406,0.9143278349028714,0.0,0.0,0.0,0.0,1.4499381967947744,0.0,0.0,1.4499381967947744,False,1303357_YES.csv,1303357_YES
1770893520,2026-02-12 10:52:00,1,60000.0,180.0,0.00299999999999995,180.0,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,-0.2723006302490475,0.7659302844332565,0.8659853944961341,0.0,0.0,0.0,0.0,1.359615048680343,0.0,0.0,1.359615048680343,False,1303357_YES.csv,1303357_YES
1770893640,2026-02-12 10:54:00,1,62900.0,188.7,0.002999999999999953,188.7,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,-0.26980907113345953,0.8509355109944714,0.9508394269927137,0.0,0.0,0.0,0.0,1.5319658668537257,0.0,0.0,1.5319658668537257,False,1303357_YES.csv,1303357_YES
1770893820,2026-02-12 10:57:00,1,62348.0,187.044,0.0029999999999999524,187.044,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,-0.26738475477825496,0.820409665489487,0.9170011204043587,0.0,0.0,0.0,0.0,1.4700260311155908,0.0,0.0,1.4700260311155908,False,1303357_YES.csv,1303357_YES
1770894000,2026-02-12 11:00:00,1,62555.0,187.665,0.002999999999999952,187.665,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,-0.2650247068446548,0.8159058652829928,0.9100453624185157,0.0,0.0,0.0,0.0,1.4609265208568538,0.0,0.0,1.4609265208568538,False,1303357_YES.csv,1303357_YES
1770894120,2026-02-12 11:02:00,1,62000.0,186.0,0.002999999999999952,186.0,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,-0.2650247068446548,0.7698987742505368,0.8612799020985745,0.0,0.0,0.0,0.0,1.3661539695044564,0.0,0.0,1.3661539695044564,False,1303357_YES.csv,1303357_YES
