timestamp,datetime,midpoint,best_bid,best_ask,spread,bid_depth_top5,ask_depth_top5
1771467625,2026-02-19T10:20:25.247750,0.0355,0.036,0.035,0.001,394398.78,548915.98
1771467805,2026-02-19T10:23:25.250365,0.0355,0.036,0.035,0.001,397491.17000000004,523422.13
1771467985,2026-02-19T10:26:25.233890,0.0355,0.036,0.035,0.001,396666.47000000003,521257.84
1771468165,2026-02-19T10:29:25.261602,0.0355,0.036,0.035,0.001,399751.72000000003,521779.69
1771468345,2026-02-19T10:32:25.268456,0.0355,0.036,0.035,0.001,394622.65,521764.31
1771468525,2026-02-19T10:35:25.242624,0.0355,0.036,0.035,0.001,394617.46,521855.31
1771468705,2026-02-19T10:38:25.302772,0.0355,0.036,0.035,0.001,394617.46,521855.31
1771468885,2026-02-19T10:41:25.450885,0.0355,0.036,0.035,0.001,394517.46,533908.1
1771469065,2026-02-19T10:44:25.463503,0.0355,0.036,0.035,0.001,394517.46,534838.81
1771469245,2026-02-19T10:47:25.465484,0.0355,0.036,0.035,0.001,394074.59,537423.53
1771469425,2026-02-19T10:50:25.420092,0.0365,0.037,0.036,0.001,129813.36,740344.0
1771469605,2026-02-19T10:53:25.444913,0.0365,0.037,0.036,0.001,129762.71,790302.53
1771469785,2026-02-19T10:56:25.493186,0.0365,0.037,0.036,0.001,129675.21,790221.29
1771469965,2026-02-19T10:59:25.468784,0.0365,0.037,0.036,0.001,130585.46,790175.04
1771470145,2026-02-19T11:02:25.496955,0.0365,0.037,0.036,0.001,119921.04000000001,786221.79
1771470325,2026-02-19T11:05:25.849810,0.0365,0.037,0.036,0.001,119704.38,786023.87
1771470505,2026-02-19T11:08:25.675399,0.0365,0.037,0.036,0.001,119403.08,785982.69
1771470685,2026-02-19T11:11:25.681798,0.0365,0.037,0.036,0.001,119223.87,785813.59
1771470865,2026-02-19T11:14:25.663638,0.0365,0.037,0.036,0.001,119438.04000000001,785785.32
1771471045,2026-02-19T11:17:25.683608,0.0365,0.037,0.036,0.001,118996.92,785558.84
1771471225,2026-02-19T11:20:25.643240,0.0355,0.036,0.035,0.001,384124.44,524785.43
1771471405,2026-02-19T11:23:25.716618,0.0355,0.036,0.035,0.001,384152.58,532574.2
1771471585,2026-02-19T11:26:25.775784,0.0355,0.036,0.035,0.001,383953.23,533720.37
1771471765,2026-02-19T11:29:25.740016,0.0355,0.036,0.035,0.001,383668.46,534127.3099999999
1771471945,2026-02-19T11:32:25.908948,0.0355,0.036,0.035,0.001,383563.5,534044.29
1771472125,2026-02-19T11:35:25.815624,0.0355,0.036,0.035,0.001,384211.4,533758.66
1771472305,2026-02-19T11:38:25.912646,0.0355,0.036,0.035,0.001,384380.76,534290.61
1771472485,2026-02-19T11:41:25.903110,0.0355,0.036,0.035,0.001,384301.5,534230.22
1771472665,2026-02-19T11:44:25.832164,0.0355,0.036,0.035,0.001,384462.56,534378.86
1771472845,2026-02-19T11:47:25.922889,0.0355,0.036,0.035,0.001,384388.92000000004,534333.22
1771473025,2026-02-19T11:50:25.912417,0.0355,0.036,0.035,0.001,383645.88,534122.86
1771473205,2026-02-19T11:53:25.938542,0.0355,0.036,0.035,0.001,383504.09,533394.01
1771473385,2026-02-19T11:56:25.982799,0.0355,0.036,0.035,0.001,378644.5,533406.85
1771473566,2026-02-19T11:59:26.071846,0.0355,0.036,0.035,0.001,378546.54000000004,533277.8099999999
1771473746,2026-02-19T12:02:26.155244,0.0355,0.036,0.035,0.001,379634.33,533158.54
1771473926,2026-02-19T12:05:26.251182,0.0355,0.036,0.035,0.001,378823.71,533355.35
1771474106,2026-02-19T12:08:26.108051,0.0355,0.036,0.035,0.001,378792.01,533286.97
1771474290,2026-02-19T12:11:30.930892,0.0365,0.037,0.036,0.001,,
1771474466,2026-02-19T12:14:26.090496,0.0365,0.037,0.036,0.001,114094.18,786330.89
1771474646,2026-02-19T12:17:26.220792,0.0365,0.037,0.036,0.001,114018.91,786261.86
1771474826,2026-02-19T12:20:26.248033,0.0365,0.037,0.036,0.001,113898.86,784438.8099999999
1771475006,2026-02-19T12:23:26.239473,0.0365,0.037,0.036,0.001,113829.51,784374.6599999999
1771475186,2026-02-19T12:26:26.263859,0.0345,0.036,0.033,0.003,330622.84,526324.62
1771475366,2026-02-19T12:29:26.334276,0.0345,0.035,0.034,0.001,323271.05,418319.41000000003
1771475546,2026-02-19T12:32:26.301464,0.0345,0.035,0.034,0.001,392081.87,418183.92
1771475726,2026-02-19T12:35:26.276207,0.0345,0.035,0.034,0.001,390530.42000000004,418265.27
1771475906,2026-02-19T12:38:26.276297,0.0345,0.035,0.034,0.001,391529.12,418762.96
1771476086,2026-02-19T12:41:26.312197,0.034,0.035,0.033,0.002,398032.29000000004,420863.91000000003
1771476266,2026-02-19T12:44:26.469809,0.0345,0.035,0.034,0.001,390617.8,416382.87
1771476626,2026-02-19T12:50:26.478532,0.0345,0.035,0.034,0.001,390619.47000000003,417476.11
1771476806,2026-02-19T12:53:26.473957,0.0345,0.035,0.034,0.001,390462.42,417424.06
